Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
We'll be off and running to a lil' place called SILVERWOOD today! Can't wait! :),9,9,8,8
I really wana move soon!,4,5,5,7
thinking at charity cup,5,5,1,1
"thinks that for girls, boys are easily found. But GIRLS don't realize they need MEN!!",4,3,6,7
Our Wedding Anniversary tonight...,7,7,4,5
Just sip some crystal with these real ones,5,5,3,1
Believe The Hype for Raleigh! Snip3down is going to go off!!,6,8,7,8
I would like to thank all of my family and friends that came out and celebrated as well as  showered my new lil man with love and gifts. It was great! O how I love my family and friends.,8,9,6,5
Holy shit... Still playing with go to meeting.... Tech support.... Help... Help.   Mama's tired,3,5,6,5
So happy <PERSON> is the bomb,6,8,5,3
getting ready for the big move people,7,5,6,5
Happy happy happy new year to everybody!! I have optimistic hopes for 2010.,8,9,8,8
I can't believe Michael Jackson is dead! ):,2,2,6,7
"HELP! im looking for a childbirth class, preferably on weekdays.  Found <PERSON>, but she's only offering Sunday morning classes, and she's starting this Sunday. ANY SUGGESTIONS? thanks!",5,5,6,7
Is exhausted. I think <PERSON> has colic. She wrenches her back and cries forever. Mostly in the morning though and right before bed. Ouy!,3,3,7,4
would like to send a shout out and thanks to his little helper this weekend.,7,7,3,1
Finally 100% FIT......,8,7,4,3
Making smores with the kids! They want to camp out tonight!!!!!! LOL!!! Let's see how that goes!!!!!!!!,8,7,9,9
"What a weekend? EAT, EAT and EAT some more, BBQ TIME!!!!",8,8,8,9
"When youÃ¢â‚¬â„¢re sad and alone, the only one you can truly depend on is yourself. Ã¢â‚¬â€ Zetsu",3,2,2,3
around..,5,5,1,1
going to atl this weekend to see my mawmaw,7,7,4,2
"Am I my thoughts, the thoughts that I am thinking? No.  Thoughts come and go;  I am not my thoughts. Am I my body?  They tell us that millions of cells in our body are changed or are renewed every minute, sothat by the end of seven years we don't havea single living cell in our body that was there seven years before.  Cells come and go.  Cells arise and die.  But I\ seems to persist.  So am I my body?  Evidently not\""""",4,5,5,3
3 more days,5,5,2,1
